board,turn,move_num,result
rq2kb1r/pp2n1p1/2n1p3/3pp2p/Q2N1PP1/2P5/PP1B2P1/RN2KB1R b KQkq - 0 13,0,13,2
rq2kb1r/pp2n1p1/2n1p3/3p3p/Q2p1PP1/2P5/PP1B2P1/RN2KB1R w KQkq - 0 14,1,14,0
rq2kb1r/pp2n1p1/2n1p3/3p3p/Q2p1PP1/N1P5/PP1B2P1/R3KB1R b KQkq - 1 14,0,14,2
rq2kb1r/pp2n1p1/2n1p3/3p3p/Q4PP1/N1p5/PP1B2P1/R3KB1R w KQkq - 0 15,1,15,0
rq2kb1r/pp2n1p1/2n1p3/3p3p/Q4PP1/N1B5/PP4P1/R3KB1R b KQkq - 0 15,0,15,2
rq2kb1r/1p2n1p1/p1n1p3/3p3p/Q4PP1/N1B5/PP4P1/R3KB1R w KQkq - 0 16,1,16,0
rq2kb1r/1p2n1p1/p1n1p3/3p3p/Q4PP1/N7/PP1B2P1/R3KB1R b KQkq - 1 16,0,16,2
rq2kb1r/1p2n3/p1n1p3/3p2pp/Q4PP1/N7/PP1B2P1/R3KB1R w KQkq - 0 17,1,17,0
rq2kb1r/1p2n3/p1n1p3/3p2pp/Q4PP1/N7/PP1B2P1/2KR1B1R b kq - 1 17,0,17,2
r3kb1r/1pq1n3/p1n1p3/3p2pp/Q4PP1/N7/PP1B2P1/2KR1B1R w kq - 2 18,1,18,0
r3kb1r/1pq1n3/p1n1p3/3p2pp/Q4PP1/N7/PP1B2P1/1K1R1B1R b kq - 3 18,0,18,2
r3k2r/1pq1n1b1/p1n1p3/3p2pp/Q4PP1/N7/PP1B2P1/1K1R1B1R w kq - 4 19,1,19,0
r3k2r/1pq1n1b1/p1n1p3/3p2pP/Q4P2/N7/PP1B2P1/1K1R1B1R b kq - 0 19,0,19,2
r3k2r/1pq1n1b1/p1n1p3/3p3P/Q4p2/N7/PP1B2P1/1K1R1B1R w kq - 0 20,1,20,0
r3k2r/1pq1n1b1/p1n1p3/3p3P/Q4p2/8/PPNB2P1/1K1R1B1R b kq - 1 20,0,20,2
r3k2r/1p2n1b1/pqn1p3/3p3P/Q4p2/8/PPNB2P1/1K1R1B1R w kq - 2 21,1,21,0
r3k2r/1p2n1b1/pqn1p3/3p3P/Q4p2/8/PPN3P1/1KBR1B1R b kq - 3 21,0,21,2
r3k2r/1p2n3/pqn1p3/3pb2P/Q4p2/8/PPN3P1/1KBR1B1R w kq - 4 22,1,22,0
r3k2r/1p2n3/pqn1p3/3pb2P/Q4p2/8/PP4P1/1KBRNB1R b kq - 5 22,0,22,2
r3k2r/1p2n3/pqnbp3/3p3P/Q4p2/8/PP4P1/1KBRNB1R w kq - 6 23,1,23,0
r3k2r/1p2n3/pqnbp3/3p3P/Q4p2/8/PP2B1P1/1KBRN2R b kq - 7 23,0,23,2
r3k2r/1p2n3/pqnb4/3pp2P/Q4p2/8/PP2B1P1/1KBRN2R w kq - 0 24,1,24,0
r3k2r/1p2n3/pqnb4/3pp2P/Q4p2/6P1/PP2B3/1KBRN2R b kq - 0 24,0,24,2
r3k2r/1p2n3/p1nb4/3pp2P/Q4p2/6P1/PP2Bq2/1KBRN2R w kq - 1 25,1,25,0
r3k2r/1p2n3/p1nb4/3pp2P/Q4pB1/6P1/PP3q2/1KBRN2R b kq - 2 25,0,25,2
r3k2r/4n3/p1nb4/1p1pp2P/Q4pB1/6P1/PP3q2/1KBRN2R w kq - 0 26,1,26,0
r3k2r/4n3/p1nb4/1p1pp2P/Q4pB1/3N2P1/PP3q2/1KBR3R b kq - 1 26,0,26,2
r3k2r/4n3/p1nb4/3pp2P/p4pB1/3N2P1/PP3q2/1KBR3R w kq - 0 27,1,27,0
r3k2r/4n3/p1nb4/3pp2P/p4pB1/6P1/PP3N2/1KBR3R b kq - 0 27,0,27,2
r3k2r/4n3/p1nb4/3pp2P/5pB1/p5P1/PP3N2/1KBR3R w kq - 0 28,1,28,0
r3k2r/4n3/p1nb4/3pp2P/5PB1/p7/PP3N2/1KBR3R b kq - 0 28,0,28,2
