board,turn,move_num,result,result_scaled,result_scaled_tempo
3R3k/1r5p/8/8/7P/2p2PPK/8/8 b - - 1 64,False,64,1,5.6953125,5.6953125
3R4/1r4kp/8/8/7P/2p2PPK/8/8 w - - 2 65,True,65,1,5.6953125,5.6953125
2R5/1r4kp/8/8/7P/2p2PPK/8/8 b - - 3 65,False,65,1,5.6953125,5.6953125
2R5/6kp/8/8/7P/1rp2PPK/8/8 w - - 4 66,True,66,1,5.6953125,5.6953125
2R5/6kp/8/8/6KP/1rp2PP1/8/8 b - - 5 66,False,66,1,5.6953125,5.6953125
2R5/7p/6k1/8/6KP/1rp2PP1/8/8 w - - 6 67,True,67,1,5.6953125,5.6953125
2R5/7p/6k1/8/5K1P/1rp2PP1/8/8 b - - 7 67,False,67,1,5.6953125,5.6953125
2R5/7p/6k1/8/1r3K1P/2p2PP1/8/8 w - - 8 68,True,68,1,5.6953125,5.6953125
2R5/7p/6k1/4K3/1r5P/2p2PP1/8/8 b - - 9 68,False,68,1,5.6953125,5.6953125
2R5/7p/6k1/4K3/7P/1rp2PP1/8/8 w - - 10 69,True,69,1,5.6953125,5.6953125
8/7p/2R3k1/4K3/7P/1rp2PP1/8/8 b - - 11 69,False,69,1,5.6953125,5.6953125
8/6kp/2R5/4K3/7P/1rp2PP1/8/8 w - - 12 70,True,70,1,5.6953125,5.6953125
8/6kp/2R5/8/5K1P/1rp2PP1/8/8 b - - 13 70,False,70,1,5.6953125,5.6953125
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,True,1,0,0,0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,False,1,2,2.25,2.055
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,True,2,0,0,0
rnbqkb1r/pppppppp/5n2/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,False,2,2,7.59375,6.935625
rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,True,3,0,0,0
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,False,3,2,7.59375,6.935625
rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 0 4,True,4,0,0,0
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,False,4,2,7.59375,6.935625
